id;title;description;start_date;end_date;status;location;rate
1;mobile Ball Intuitive;auxiliary TCP Lodge;2021-10-25T00:27:42;2021-10-24T21:16:21;CANCEL;ONSITE;50947
2;microchip invoice Accountability;Open-architected Federation cross-media;2021-10-25T01:27:58;2021-10-25T11:18:59;VALIDATED;ONLINE;84021
3;Indiana;copy withdrawal Sleek;2021-10-25T15:07:29;2021-10-25T17:09:22;PENDING;ONLINE;23174
4;Shoes Unbranded redundant;Wooden withdrawal copying;2021-10-25T04:42:33;2021-10-25T11:14:38;CANCEL;ONLINE;16146
5;bluetooth Small;Bedfordshire didactic;2021-10-25T04:23:28;2021-10-25T06:09:18;DONE;ONLINE;33824
6;Legacy archive Practical;Avon matrices;2021-10-25T10:50:51;2021-10-25T05:07:38;DONE;ONSITE;52142
7;value-added JBOD Maryland;Representative;2021-10-25T05:12:32;2021-10-24T22:15:26;DONE;ONSITE;3893
8;Guadeloupe Ergonomic;complexity Baby;2021-10-25T18:00:43;2021-10-25T06:20:49;PENDING;ONSITE;64469
9;tolerance;Cape Chief Consultant;2021-10-25T13:27:43;2021-10-25T08:57:42;DONE;ONLINE;29245
10;invoice Harbors;Rustic;2021-10-25T02:45:54;2021-10-25T05:30:51;PENDING;ONSITE;70292
