id;title;description;location;start_date;end_date;is_published;author_id
1;Tuna integrated deposit;holistic SAS;Cambridgeshire fuchsia;2021-10-25T05:46:07;2021-10-25T00:03:06;false;1
2;Account out-of-the-box Shoes;Israel 24/7;mobile;2021-10-25T12:01:16;2021-10-24T22:38:49;false;2
3;Dollar;Triple-buffered;Ball;2021-10-25T18:22:40;2021-10-24T22:38:43;true;2
4;upward-trending Frozen;Checking calculate;Legacy copy;2021-10-25T10:43:57;2021-10-25T16:59:53;false;2
5;Representative;RSS;Card Bedfordshire;2021-10-25T10:32:37;2021-10-25T06:31:54;false;1
6;Metal;Montana Tuna;lavender;2021-10-25T04:00:29;2021-10-25T02:22:13;true;1
7;transitional;mint AI;PCI Cuban Fresh;2021-10-25T04:40:46;2021-10-25T14:53:08;false;1
8;Kids invoice function;Account Organic Direct;Steel;2021-10-25T07:00:36;2021-10-25T14:40:23;true;2
9;Sleek;Berkshire Producer;North;2021-10-25T00:37:31;2021-10-25T17:02:30;false;2
10;logistical;maximized Infrastructure Accountability;panel Tools transmitting;2021-10-25T17:41:39;2021-10-25T09:09:56;true;1
