id;origin;action;action_date;author_id
1;sensor Liaison;Mayen modular North;2021-10-24T20:40:04;1
2;Assistant Virginia composite;copying;2021-10-25T07:02:56;2
3;Concrete mobile parse;Licensed plug-and-play Mozambique;2021-10-25T13:23:28;1
4;invoice USB green;Mountain;2021-10-25T13:55:52;2
5;Optional parse;discrete;2021-10-25T12:53:03;2
6;Islands Shoes context-sensitive;Dollar Rubber Circles;2021-10-25T09:14:55;1
7;teal solution-oriented;THX sky AGP;2021-10-25T14:31:52;2
8;Kids;Agent Functionality;2021-10-24T19:29:04;1
9;Mississippi;Refined Branch Plastic;2021-10-25T10:44:12;2
10;Wooden didactic;invoice ivory Connecticut;2021-10-25T00:04:32;1
