id;title;description;created_at;author_id
1;technologies Computer;hack Tasty internet;2021-10-25T15:08:39;1
2;blockchains analyzing Grocery;deposit maximize;2021-10-25T01:14:48;2
3;card systems;synthesizing;2021-10-25T17:11:34;2
4;platforms Platinum;invoice;2021-10-24T19:20:54;1
5;Creative Personal;Lithuanian pixel e-services;2021-10-25T14:03:36;1
6;cohesive;infomediaries Granite;2021-10-25T02:53:04;2
7;Soft Reverse-engineered;e-business;2021-10-25T02:31:36;1
8;District;global Cotton hack;2021-10-24T22:29:11;2
9;payment payment;tan withdrawal;2021-10-25T03:18:29;1
10;Applications;Forint connect;2021-10-25T10:24:39;1
