id;title;broadcast;description;created_at
1;Rustic Throughway;false;hack systematic Switzerland;2021-10-25T15:31:15
2;program next-generation;false;Executive;2021-10-25T02:51:41
3;Directives invoice payment;true;Sports invoice;2021-10-25T16:22:34
4;Virtual Strategist;false;compressing;2021-10-25T14:26:27
5;mindshare;false;generation Fresh payment;2021-10-25T18:42:31
6;FTP reintermediate;false;technologies client-server;2021-10-25T00:01:07
7;Usability Jewelery;true;auxiliary Sports;2021-10-25T15:12:48
8;Gloves;false;system;2021-10-25T10:42:16
9;Engineer Kenya Table;true;Hat Licensed;2021-10-25T08:54:13
10;payment;true;Account Borders Barbados;2021-10-25T02:03:36
