id;name;description;address;email;phone;country_id;administrator_id
1;index Loan Oklahoma;content-based Maldives Garden;British Producer;"N\MS@e0}v+i.7";705.527.2054 x9410;1;1
2;facilitate;superstructure Loan Ball;Market Vermont;"+2[v@D<.[6x{";285.660.8836 x77171;2;2
3;Human Optimization;Home front-end;Liaison Extension;"h2$T@PFX'IQ.ozK";1-796-488-8648;3;1
4;Handmade Chicken;Research;digital;"z)@xxd;R.P";1-762-313-4602 x476;4;2
5;paradigms Overpass;auxiliary Granite;navigate Spurs;"LGh&@yNw'}.A9b^";(341) 933-6115 x57864;5;2
6;Drives vortals;Synchronised digital;Bedfordshire Borders;"KGe|?:@Xg.vO5zq";(552) 796-8191;6;1
7;SAS;Alabama Profit-focused;withdrawal;"Trk@?yY5RV.k";1-725-236-5077;7;1
8;Balanced;Savings;AGP Persistent Knoll;"3{wG`@/VaLC.|[zu%";(493) 650-4832;8;1
9;HTTP global markets;6th panel Program;Organized;"Gf@%le9-.q\s2'g";(426) 488-6391;9;2
10;Investment;Liberia boliviano;Integration;"0W>o@cmY.,]";1-960-635-7172 x62358;10;1
