id;title;description;publish_date;expiry_date;is_valid;is_archived;is_published;author_id
1;systemic;cohesive Belize invoice;2021-10-25T17:39:58;2021-10-25T18:38:02;false;false;true;1
2;overriding;Serbia Operations mint;2021-10-25T07:02:02;2021-10-24T21:04:31;true;true;false;2
3;Intelligent;Gateway Licensed;2021-10-25T06:41:51;2021-10-25T10:52:40;false;true;true;2
4;Account;Jewelery bypass Account;2021-10-25T04:15:55;2021-10-25T07:48:56;false;false;true;2
5;Mountain Salad;orchestration back ROI;2021-10-24T22:04:21;2021-10-25T13:17:08;false;true;false;1
6;Account Moldovan;Public-key;2021-10-25T06:12:44;2021-10-24T21:57:00;true;true;true;1
7;Dynamic;Self-enabling Borders;2021-10-25T14:30:01;2021-10-25T02:32:18;false;false;true;1
8;Expressway implementation;Markets;2021-10-25T11:43:02;2021-10-25T11:12:54;true;false;false;2
9;Ergonomic system administration;rich Computer;2021-10-25T01:22:44;2021-10-25T02:30:34;false;false;true;1
10;Account Coordinator Maryland;Operative;2021-10-25T09:48:14;2021-10-25T15:52:49;true;true;true;2
